Accuracy,Precision,Recall,F1-Score,AUC-ROC,Model,Dataset,Run
0.7313432835820896,0.6766829722804566,0.7625475943232952,0.6792553191489362,0.7625475943232953,BERT + LSTM,keras,24
0.582089552238806,0.6626506024096386,0.7383177570093458,0.5682393555811277,0.7383177570093458,Naïve Bayes + TF-IDF,keras,25
0.6044776119402985,0.6274641577060931,0.6969539633091035,0.5755184985954216,0.6969539633091035,BERT + LSTM,keras,25
0.6044776119402985,0.6274641577060931,0.6969539633091035,0.5755184985954216,0.6969539633091035,Naïve Bayes + TF-IDF,keras,26
0.7238805970149254,0.6514050387596899,0.716337833160263,0.6574784110535405,0.7163378331602631,BERT + LSTM,keras,26
0.6343283582089553,0.6479910714285715,0.729491173416407,0.6041478266112015,0.729491173416407,Naïve Bayes + TF-IDF,keras,27
0.6865671641791045,0.5748987854251012,0.5960539979231567,0.5778577857785778,0.5960539979231568,BERT + LSTM,keras,27
0.5373134328358209,0.6151665485471297,0.6687435098650052,0.5219792865362485,0.6687435098650052,Naïve Bayes + TF-IDF,keras,28
0.753731343283582,0.6593085106382979,0.7073381793007961,0.6716417910447762,0.7073381793007961,BERT + LSTM,keras,28
0.5522388059701493,0.5989974937343359,0.6503980616130148,0.5286116322701688,0.6503980616130149,Naïve Bayes + TF-IDF,keras,29
0.8134328358208955,0.7071969696969697,0.6893388715818622,0.6972982741483691,0.6893388715818621,BERT + LSTM,keras,29
0.5746268656716418,0.6069819819819819,0.6644167532017999,0.5471630995434873,0.6644167532017999,Naïve Bayes + TF-IDF,keras,30
0.753731343283582,0.6714646464646464,0.7350294219453097,0.6838492886251519,0.7350294219453097,BERT + LSTM,keras,30
0.6213592233009708,0.610566037735849,0.7504273504273504,0.554112554112554,0.7504273504273503,Naïve Bayes + TF-IDF,incubator-mxnet,1
0.8252427184466019,0.6484962406015038,0.7025641025641025,0.6670258620689655,0.7025641025641025,BERT + LSTM,incubator-mxnet,1
0.5922330097087378,0.5886123680241327,0.7008547008547008,0.5239876760563381,0.7008547008547009,Naïve Bayes + TF-IDF,incubator-mxnet,2
0.7378640776699029,0.6378524046434495,0.7841880341880342,0.6385025347718705,0.7841880341880343,BERT + LSTM,incubator-mxnet,2
0.6601941747572816,0.6080508474576272,0.7397435897435898,0.5755327917108206,0.7397435897435898,Naïve Bayes + TF-IDF,incubator-mxnet,3
0.7961165048543689,0.6471028971028971,0.7517094017094017,0.6678949792722249,0.7517094017094017,BERT + LSTM,incubator-mxnet,3
0.5825242718446602,0.6160714285714286,0.7611111111111111,0.5314714905321063,0.7611111111111111,Naïve Bayes + TF-IDF,incubator-mxnet,4
0.8543689320388349,0.6749598715890851,0.6863247863247863,0.6803227808814402,0.6863247863247864,BERT + LSTM,incubator-mxnet,4
0.6116504854368932,0.6226415094339622,0.7777777777777778,0.5541125541125541,0.7777777777777778,Naïve Bayes + TF-IDF,incubator-mxnet,5
0.7961165048543689,0.5918300653594771,0.6200854700854701,0.6012903225806452,0.6200854700854701,BERT + LSTM,incubator-mxnet,5
0.6504854368932039,0.6049808429118774,0.7341880341880342,0.5680335507921714,0.7341880341880342,Naïve Bayes + TF-IDF,incubator-mxnet,6
0.6601941747572816,0.5944574551131928,0.7068376068376069,0.5659241420830825,0.7068376068376068,BERT + LSTM,incubator-mxnet,6
0.6019417475728155,0.6055806938159879,0.7393162393162394,0.5392253136933989,0.7393162393162394,Naïve Bayes + TF-IDF,incubator-mxnet,7
0.8446601941747572,0.6986413043478261,0.8123931623931624,0.7307189542483659,0.8123931623931625,BERT + LSTM,incubator-mxnet,7
0.5922330097087378,0.6032075471698113,0.7337606837606838,0.5318181818181817,0.7337606837606838,Naïve Bayes + TF-IDF,incubator-mxnet,8
0.8058252427184466,0.6654483430799221,0.7901709401709403,0.6897590361445782,0.7901709401709401,BERT + LSTM,incubator-mxnet,8
0.6601941747572816,0.6354166666666666,0.8055555555555556,0.5924250989259469,0.8055555555555556,Naïve Bayes + TF-IDF,incubator-mxnet,9
0.8252427184466019,0.6357729138166894,0.6696581196581197,0.6488636363636364,0.6696581196581197,BERT + LSTM,incubator-mxnet,9
0.6990291262135923,0.6346604215456675,0.7948717948717949,0.6155328115593016,0.7948717948717949,Naïve Bayes + TF-IDF,incubator-mxnet,10
0.6601941747572816,0.6354166666666666,0.8055555555555556,0.5924250989259469,0.8055555555555556,BERT + LSTM,incubator-mxnet,10
0.4854368932038835,0.5984848484848485,0.7055555555555555,0.45589554470248184,0.7055555555555555,Naïve Bayes + TF-IDF,incubator-mxnet,11
0.6310679611650486,0.5713178294573643,0.6572649572649573,0.5340476190476191,0.6572649572649573,BERT + LSTM,incubator-mxnet,11
